year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation
2010,AK-500,1231.0,1113.0,118.0,285194,0.0,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,6.51871490478516,42.0100021362305,7.40162801742554,3.59048366546631,98.0,,17355,23104,20085,3137,81854,20504,139375,2397,,,,,,7.78885,,18.3999996185303,56.5999984741211,0.680000007152557,12.5600004196167
2011,AK-500,1223.0,1082.0,141.0,293370,0.0093593523328223,2.26695775985718,9.30000019073486,15.3343152999878,21.0148162841797,39.7279205322266,4.10821390151978,0,0,4.11740589141846,1,0,6.57535648345947,42.0100021362305,9.32303905487061,3.57411170005798,99.0,0.321797102689743,15518,22365,23661,5878,84430,21392,144318,1978,,24.8328151702881,21.773509979248,17.2342300415039,66.9520568847656,7.85001,,18.7999992370605,55.7999992370605,0.519999980926514,15.5600004196167
2012,AK-500,1147.0,1097.0,50.0,296291,-0.0491365997472855,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,5.95197677612305,42.0100021362305,8.23818397521973,3.52347683906555,99.0,,15760,23257,24613,6081,83821,22436,145460,-330,,,,,,7.90594,,2.90000009536743,55.9000015258789,1.16999995708466,16.4599990844727
2013,AK-500,1122.0,1070.0,52.0,298520,-0.255042351069307,2.26695775985718,9.30000019073486,15.3343152999878,21.0148162841797,39.7279205322266,4.10821390151978,0,0,4.11740589141846,1,0,5.3561053276062,42.0100021362305,8.7833309173584,3.4138765335083,98.0,0.321797102689743,16081,24567,25466,6444,83142,24183,146470,-867,,24.8328151702881,21.773509979248,17.2342300415039,66.9520568847656,7.83198,,23.2999992370605,56.0,1.10000002384186,20.2700004577637
2014,AK-500,1023.0,970.0,53.0,301081,3.1704806027423,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,5.19693660736084,42.0100021362305,7.55710220336914,3.90788125991821,99.0,,16319,25601,26325,6768,82997,25490,147150,-535,,,,,,7.95718,,30.2999992370605,60.0999984741211,1.51999998092651,24.0100002288818
2015,AK-500,1208.0,1029.0,179.0,300296,7.33071271468013,2.43886280059814,8.5,15.3343152999878,21.0148162841797,39.7279205322266,4.81721210479736,0,0,4.11740589141846,1,0,5.20816850662231,42.0100021362305,9.72607040405273,3.4183349609375,89.0,0.366994917392731,16227,26282,26863,6843,82158,26796,146815,-4044,,25.0464401245117,23.379077911377,14.5351257324219,65.634147644043,8.26729,,20.5,58.0,0.349999994039536,18.3199996948242
2016,AK-500,1105.0,865.0,240.0,298018,10.0917216528616,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,5.04996490478516,42.0100021362305,8.49109840393066,3.34639024734497,97.0,,15840,26492,27385,7005,80412,28138,145828,-5323,,,,,,8.39448,,27.2000007629395,60.2000007629395,0.280000001192093,19.0
2017,AK-500,1128.0,973.0,155.0,297376,11.7436473396041,2.43886280059814,8.5,15.3343152999878,21.0148162841797,39.7279205322266,4.81721210479736,0,0,4.11740589141846,1,0,5.55591201782227,42.0100021362305,7.09808444976807,3.45132637023926,99.0,0.366994917392731,16002,26754,27939,7252,80042,29482,145604,-3389,-0.849201798439026,25.0464401245117,23.379077911377,14.5351257324219,65.634147644043,8.75152,0.193316832184792,13.8000001907349,60.7999992370605,1.71000003814697,16.5
2010,AK-501,632.0,558.0,74.0,409496,0.0,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,8.50493335723877,40.6757011413574,9.97299098968506,2.05731606483459,96.3808288574219,,9836,21274,13634,1233,121072,32677,194754,-1725,,,,,,8.70604160187157,,18.3999996185303,56.5999984741211,0.680000007152557,12.5600004196167
2011,AK-501,905.0,678.0,227.0,420645,-1.00434935531359,2.11652970314026,13.84889793396,13.3116703033447,19.3645610809326,33.922233581543,6.30626583099365,0,0,9.29489803314209,0,0,8.87895393371582,40.6757011413574,11.7666912078857,1.83113181591034,96.9256286621094,2.65547513961792,6799,17680,14513,1500,123984,34172,198051,4111,,24.431116104126,20.3169708251953,15.8124465942383,76.4723358154297,9.00030236517729,,18.7999992370605,55.7999992370605,0.519999980926514,15.5600004196167
2012,AK-501,766.0,619.0,147.0,425968,-0.167281041086085,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,8.83814239501953,40.6757011413574,12.1164035797119,1.87719964981079,96.7598876953125,,7225,18864,14991,1631,124534,35785,200946,772,,,,,,9.11423513139485,,2.90000009536743,55.9000015258789,1.16999995708466,16.4599990844727
2013,AK-501,824.0,671.0,153.0,432305,0.0553562435072479,2.11652970314026,13.84889793396,13.3116703033447,19.3645610809326,33.922233581543,6.30626583099365,0,0,9.29489803314209,0,0,8.47916698455811,40.6757011413574,11.8608388900757,2.0073766708374,98.1892242431641,2.65547513961792,7909,20650,15657,1800,124193,38337,203359,2162,,24.431116104126,20.3169708251953,15.8124465942383,76.4723358154297,8.69494786794046,,23.2999992370605,56.0,1.10000002384186,20.2700004577637
2014,AK-501,761.0,669.0,92.0,435679,2.18257742891404,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,8.34344291687012,40.6757011413574,11.4513206481934,1.95895099639893,97.9441223144531,,8198,21994,16091,1851,123569,40699,204145,-841,,,,,,8.8719509473718,,30.2999992370605,60.0999984741211,1.51999998092651,24.0100002288818
2015,AK-501,748.0,610.0,138.0,436463,2.68091099715869,2.24969911575317,14.6077146530151,13.3116703033447,19.3645610809326,33.922233581543,7.00008964538574,0,0,9.29489803314209,0,0,8.13521480560303,40.6757011413574,12.0094947814941,1.91578245162964,89.8027267456055,2.23641037940979,8121,22825,16663,1907,122677,43270,204114,-3593,,25.6898784637451,19.7865581512451,14.1425180435181,75.5603790283203,9.02181782231254,,20.5,58.0,0.349999994039536,18.3199996948242
2016,AK-501,835.0,633.0,202.0,439961,6.13309626887893,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,7.64422655105591,40.6757011413574,11.2819089889526,1.91327238082886,97.2644119262695,,8384,23847,17088,1959,122939,45946,205673,-570,,,,,,9.13901965983348,,27.2000007629395,60.2000007629395,0.280000001192093,19.0
